No,判定,曲名,説明
1,T,蕾（コブクロ）,2017/03/27 - 2007年3月にリリースされたコブクロ14作目のシングル「蕾」。 この曲はヒット曲「桜」を上回る販売枚数を記録し、 オリコン週間シングルチャートで初の1位獲得、 日本レコード大賞を受賞するなどの快挙を果たしました ...
2,T,蕾（コブクロ）,2019/09/07 - 「蕾」の歌詞の意味を読み解く. 『蕾』は亡き母に捧げられた歌.
3,T,蕾（コブクロ）,2019/02/14 - ドラマの主題歌で話題になりましたし、2007年に日本レコード大賞受賞しましたし、たくさんの方がコブクロの曲を聴くきっかけに ... だからこそその悔しくてたまらない無念さの意味も込めて「蕾」と表現したのかなって…
4,T,真夏の果実,"2017/08/14 - サザンオールスターズ「真夏の果実」作詞を手掛ける桑田佳祐の歌詞とPV動画が知りたい！ 14,210 view ... 桑田佳祐作詞の｢真夏の果実｣の歌詞を読み解く ... 【サザンオールスターズ/海】不思議な歌詞の意味を徹底解釈！"
5,T,真夏の果実,サザンオールスターズさんの『真夏の果実』歌詞です。 ／ 『うたまっぷ』-歌詞の無料検索表示サイトです。歌詞全文から一部のフレーズを入力して検索できます。最新J-POP曲・TV主題歌・アニメ・演歌などあらゆる曲から自作投稿歌詞 ...
6,T,真夏の果実,2020/06/28 - 心理カウンセラーが解釈！ 歌詞の意味を勝手に考察しましょうというコーナー。 祈念すべき第1回目の今日は、. サザンオールスターズ. 「真夏の果実」。 1990年にリリースされた、サザンオールスターズの名曲中の名曲。
7,T,木綿のハンカチーフ,その手始めとして今日はウルトラスーパー超名曲「木綿のハンカチーフ」について、ちょっとだけ解説してみたい。 1975年の曲でいろいろ ... 女子の答えはもちろん、最後に一つだけのおねだり、涙をふくハンカチちょうだい。いいですね。
8,T,木綿のハンカチーフ,太田裕美さんの『木綿のハンカチーフ』歌詞です。 ／ 『うたまっぷ』-歌詞の無料検索表示サイトです。歌詞全文から一部のフレーズを入力して検索できます。最新J-POP曲・TV主題歌・アニメ・演歌などあらゆる曲から自作投稿歌詞まで、 ...
9,T,木綿のハンカチーフ,木綿のハンカチーフ」（もめんのハンカチーフ）は、太田裕美の楽曲で、4枚目のシングル。1975年12月21日に発売された日本のヒット曲で ... 作詞の松本隆は、都会（≒東京）に出た男性と故郷に残された女性との遠距離恋愛を対話形式で歌詞にしたが、こうした男言葉と女言葉が交互に切り替わるという構成は、当時の ...
10,T,366日,この投稿でじっくり意味を噛みしめることができました。 boom. 1993年6月21日、THE BOOMの「島唄（オリジナル・ヴァージョン）」が全国発売となり、. 150万枚以上を売り上げる大ヒット！その年の大晦日の紅白歌合戦に出場、.
11,T,366日,3 最近椎名林檎の曲をよく聞きます 彼女の曲の歌詞についてなのですが、キラーチューンとか聞くとすごく物欲 4 B'zの歌詞について 5 B'zのIt's show timeのPV 6 CMで聞いた曲で、一部歌詞しかわからないのですが・・・(男性アーティスト) 編曲 이민수. ... 長い目で見ている長い目で見ておれ出典:『Wikipedia』 (2011/07/15 03:53 UTC 版)該当件数 : 時がたてばわかる時日が経てばわかる時節が来れば ...
12,T,366日,2018/05/08 - 県歌「信濃の国」の歌詞の意味紹介します. 平成30年に県歌制定50年を迎えた「信濃の国」の歌詞の意味を紹介します。 1番の歌詞 ... 5番の歌詞の意味（PDF：187KB） · 6番の歌詞の意味（PDF：197KB）. ＜トップページへ ...
13,T,セーラー服と機関銃,さよならは別れの 言葉じゃなくて再び逢うまでの 遠い約束夢のいた場所に 未練残しても心寒いだけさこのまま何時間でも抱いていたいけどただこのまま 冷たい頬をあたためたいけど 都会は秒刻みの あわただしさ恋もコンクリートの 篭の中君 ...
14,T,セーラー服と機関銃,"2018/05/04 - 騒動を巻き起こした歌詞の意味を徹底解釈！ 森山直太朗. 25,946 view. 2 ..."
15,T,セーラー服と機関銃,セーラー服と機関銃」（セーラーふくときかんじゅう）は、来生えつこ作詞、来生たかお作曲による楽曲。薬師丸ひろ子のデビュー曲で、薬師丸主演の同名映画主題歌。異名同曲として「夢の途中」（ゆめのとちゅう）が存在する。 薬師丸の ...
16,T,ひまわり娘,伊藤咲子さんの『ひまわり娘』歌詞です。 ／ 『うたまっぷ』-歌詞の無料検索表示サイトです。歌詞全文から一部のフレーズを入力して検索できます。最新J-POP曲・TV主題歌・アニメ・演歌などあらゆる曲から自作投稿歌詞まで、約500000 ...
17,T,ひまわり娘,歌：伊藤咲子. 作詞：阿久悠. 作曲：LEVY SHUKI. 誰のために 咲いたのそれはあなたのためよ白い夏のひざしをあびてこんなに開いたの恋の夢を求めてまわる ひまわりの花そして いつも見つめてくれるあなた 太陽みたい ※涙なんか知らない ...
18,T,ひまわり娘,ひまわり娘. 発売日 : -1年11月30日. 作詞 : 阿久悠. 作曲 : シュキ・レヴィ. ダウンロード. 誰のために咲いたの それはあなたのためよ白い夏の陽ざしをあびてこんなにひらいたの恋の夢を求めて 回るひまわりの花そしていつも見つめてくれる ...
19,T,あの日にかえりたい,松任谷由実(荒井由実)さんの『あの日にかえりたい』歌詞です。 ／ 『うたまっぷ』-歌詞の無料検索表示サイトです。歌詞全文から一部のフレーズを入力して検索できます。最新J-POP曲・TV主題歌・アニメ・演歌などあらゆる曲から自作投稿 ...
20,T,あの日にかえりたい,2018/04/29 - 長年に渡って音楽業界の第一線で活躍を続ける「ユーミン」こと松任谷由実さん。「あの日にかえりたい」は、初期のユーミンが生んだ名バラードです。青春時代や昔の恋人を思う切ない歌詞を、独自の解釈でお伝えしていき ...
21,T,あの日にかえりたい,あの日にかえりたい 歌詞. 歌：松任谷由実. 作詞：荒井由実. 作曲：荒井由実. 泣きながらちぎった写真を手のひらにつなげてみるの悩みなききのうのほほえみわけもなくにくらしいのよ青春の後ろ姿を人はみな忘れてしまうあの頃のわたしに ...
22,T,いとしのエリー,泣かした事もある 冷たくしてもなおよりそう気持ちが あればいいのさ俺にしてみりゃ これで最後のLady エリー my love so sweet 二人がもしもさめて 目をみりゃつれなくて人に言えず 思い出だけがつのれば言葉につまるようじゃ 恋は終わり ...
23,T,いとしのエリー,といった物語。 唯一の英語である「i do」は、この曲では「行かなくちゃ」「もう行くわ」といった決別や自分への叱咤の意味をもっています。 ... オーラ・セント） リ・エヴェンティ・シ・トランスフォルマーノ・エ・ソ・ジャ di emozioni ...
24,T,いとしのエリー,関わ る こ とを 示 し た 。歌 詞 は な ぜ そ れ ほ ど ま. で に 旋律 と 結 び っ. い. て い. る の だ ろ う か 。すべ. て の 歌 に. お い て ... アルト他で. は 歌 詞 の 再. 生 が 低 か っ. た。特 に 2番 の フ レ ーズ に 対応 す る 3番 の 歌. 詞の 混入 が 多く、歌詞 が 意 味よ りも フ レ ーズ に よ っ. て ... て い. る と い. う 報 告が. 多い 。 〔3｝1 ・2番 で は 音韻 的 エ. ラ ーが 多 く、語 句の 意 味が 不 明. の. まま 歌 っ.
25,T,オリビアを聴きながら,"オリビアを聴きながら」は、杏里の歌手デビュー・シングル。1978年11月5日発売。発売元はフォーライフ・レコード。 ... 直接的にオリビア自身について歌った楽曲というわけではなく、女性目線で恋の終幕が歌われた ""失恋ソング"" の類で、主人公の女性が ... 歌手デビュー直前には所属事務所の先輩であった松崎しげるの付き人を体験したとラジオ等で語っている。 ... の方は、2人の愛をさらに深め、もっと育てようという内容の明るい歌詞であるが、「オリビアを聴きながら」では、 ..."
26,T,オリビアを聴きながら,杏里さんの『オリビアを聴きながら』歌詞です。 ／ 『うたまっぷ』-歌詞の無料検索表示サイトです。歌詞全文から一部の ... 以上の歌詞が検索表示できます!作詞スクールの開講など、またインディーズミュージシャンの支援等も行っています。
27,T,オリビアを聴きながら,2020/01/23 - その後、『カントリーロード』も『ザナドゥ』も『フィジカル』等の有名曲もこの人と知ってビビりました。DDRは ... making a good thing better の意味を知って、オリビアを聴きながらの歌詞の意味も考えてみましょう。
28,T,異邦人,久保田早紀さんの『異邦人』歌詞です。 ／ 『うたまっぷ』-歌詞の無料検索表示サイトです。歌詞全文から一部のフレーズを入力して検索できます。最新J-POP曲・TV主題歌・アニメ・演歌などあらゆる曲から自作投稿歌詞まで、約500000曲 ...
29,T,異邦人,"2019/12/06 - 騒動を巻き起こした歌詞の意味を徹底解釈！ 森山直太朗. 25,946 view. 3 ..."
30,T,異邦人,... 雲や夢までも つかもうとしているその姿は きのうまでの何も知らない私あなたに この指が届くと信じていた空と大地が ふれ合う彼方過去からの旅人を 呼んでいる道あなたにとって私 ただの通りすがりちょっとふり向いてみただけの 異邦人
31,T,卒業写真,2017/02/26 - 当時、その言葉の意味が理解できなかった彼女は「は～い」と軽い返事を返していた。 正直なところ、彼女にとって好きな先生ではなかった。 それでも、東京芸大という大きな目標のために彼女はこの教室で ...
32,T,卒業写真,2019/03/23 - 荒井由実（松任谷由実）「卒業写真」歌詞の意味考察. ”悲しいことがあると 開く皮の表紙卒業写真のあの人は やさしい目をしてる”. 写真にはあの ...
33,T,卒業写真,2017/10/24 - 歌詞の意味を改めて解釈してみた！コード譜あり · 松任谷由実. 256 view. 8 ...
34,T,リメンバー・ミー,"2018/03/10 - 映画「リメンバー・ミー」から "" Remeber Me"" です。アカデミー賞2018にて長編アニメーション・歌曲賞にノミネートされどちらも見事オスカーを手にした大ヒットディズニー映画です :)今回はエスパニョールの歌詞が半分 ..."
35,T,リメンバー・ミー,2019/10/13 - ディズニーの映画Coco（リメンバー・ミー）の歌、Remember Me（リメンバー・ミー）を歌詞和訳し英語の意味の解説しました。
36,T,リメンバー・ミー,リメンバーミー 歌 意味。 石橋陽彩 リメンバー・ミー 歌詞&動画視聴. リメンバーミー主題歌の歌手や作曲は？日本語/英語/ ...
37,T,雪の華,
38,T,雪の華,2019/08/07 - 中島美嘉の情報と歌詞ならUtaTen。全歌詞ふりがな付き！【歌詞コラム】2003年にリリースされた中島美嘉の『雪の華』が、15年という時を経て映画で蘇りました。余命わずかな女性が命をかけて運命の恋をする、透明で ...
39,T,雪の華,2019/02/01 - そうそう、実は僕「雪の華」の歌詞でいまだに答えが見いだせていないところがあるんですよ。「もし、キミを失っ ... 失うって、もしかしたら「喪う」の漢字の意味かもしれないし、悩ましい歌詞だなと。そしてそのあとは、 ...
40,T,祭りのあと,桑田佳祐さんの『祭りのあと』歌詞です。 ／ 『うたまっぷ』-歌詞の無料検索表示サイトです。歌詞全文から一部のフレーズを入力して検索できます。最新J-POP曲・TV主題歌・アニメ・演歌などあらゆる曲から自作投稿歌詞まで、約500000 ...
41,T,祭りのあと,桑田節は、サザンオールスターズの桑田佳祐さんが作詞した楽曲の歌詞の中で、意味が難解と思われるフレーズに着目し、 ... 桑田さんの曲作りの順番はメロディー→詞→曲名というパターンが多いようなので、「祭りのあと」という曲名も曲 ...
42,T,祭りのあと,2019/12/06 - カップリング曲が有名になった「祭りのあと」は、桑田佳祐を語る上で外せない一曲です。ところで本題へ入る前 ... 【祭りのあと/桑田佳祐】ソロ初となるドラマ「静かなるドン」主題歌！フル歌詞をチェック！PVもあるよ♪ ... 我逢人（Mrs. GREEN APPLE）の隠された歌詞の意味を徹底解釈！曲名の読み方 ...
43,T,真珠貝の唄,ハワイのラジオ番組「ハワイ・コールズ(Hawaii Calls)」の元司会者ウェブリー・エドワーズ(Webley Edwards/1902-1977)が、オアフ島に伝わる古い歌「Popo O Ewa」に英語の歌詞をつけたとされている（Leon Poberと共作）。 日本では、 ...
44,T,真珠貝の唄,2017/05/02 - タイトルを直訳すると「エヴァの貝」という意味になります。 エヴァは、オアフ ... 英語版｛Pearly Shells(真珠貝の歌)」の歌詞は、「小さくてかわいい真珠貝よりもあなたを愛しています」というラブソングです。 パット・ ...
45,T,真珠貝の唄,"Pearly Shells Lyrics｜真珠貝の歌 歌詞. pearly_shells. Pearly shells from the ocean shinning in the sun, covering the shore. When I see them, my heart tells me that I love you more than all the little pearly shells. For every grain of sand upon the ..."
46,T,パプリカ,2019/06/30 - 実は僕、今日初めてパプリカをフルでちゃんと聴いたのですが、そしてその時に強烈な違和感を感じたのです。 その後、どうしてもその歌の意味を掘らなければいけないような気がして、4時間ほど歌詞と向き合っていました ...
47,T,パプリカ,2 日前 - 日本中に浸透したFoorinの「パプリカ」。2019年8月には楽曲を制作した米津玄師がセルフカバーし、さらに大きな話題を呼びました。ただ同じ歌詞にもかかわらず、ニュアンスが違って聴こえた方もいるのではないでしょ ...
48,T,パプリカ,わかりやすい意味を説明するのも大事なんですけど、本来そういう説明できないブラックボックス的なところがあるから、音楽のエモーションがある。サビの「パプリ〜カ」という歌も、メロディと節回しの気持ちよさがあって、それは音楽 ...
49,T,サイレント・イヴ,反. 感. 意. 識. が. 薄. れ. て. い. る. 世. 代. と. も. い. え. る 。 今. 日. 、. フ. ォ. ー. ク. と. い. う. 文. 化. が. 現. 存. す. る. の. は ... ヴ. ァ. イ. ヴ. ァ. ル. す. る. き. っ. か. け. と. し. て. 本. 稿. を. 残. し. た. い. と. 思. う 。 本. 研. 究. ノ. ー. ト. に. お. い. て. は ... て. 来. た. ヨ. ッ. パ. ラ. ―. 研. 究. ノ. ー. ト. ―. 「帰って来たヨッパライ」の. 歌. 詞. に. つ. い. て. の. 考. 察. 阿弓. 義樹 ... レ. ー. ズ. も. 詠. み. 込. ま. れ. る 。 曲. の. 間. 奏. は. ビ. ー. ト. ル. ズ. の. ﹁. グ. ッ. ド. ・. デ. イ. ・. サ. ン. シ. ャ. イ. ン.
50,T,サイレント・イヴ,ン サ. ー. トが開催され 、シ ャ ン. ソン. ・. プ リュ. ス. ・ビ フ リュ. オ レ. Chanson. Plus. Biflu。 r6e を は じめ とす る後継ア. ー. テ ィ ス ... ト リ. ー. に つ い て. レ ・. フ レール. ・. ジャ ッ クが 36年間 に 歌 っ. た楽 曲数は、. ライ ヴで 歌 わなか っ. た もの も ... 歌詞の 面 白さに は、意味的なもの と言語. 的なもの が ある ...
51,T,サイレント・イヴ,波打ち際」. で過ごす. 「真夏の夜」. には. 「響. く. サ. ラ. ウ. ン. ド. の. 波. 」 の. 効. 果. で「. 時. が. 溶. け. て. い. く. 」。 確. か. に ... それぞれのバンドが海にどんな意味を. 見ているのか ... と流れるよ」の歌詞であり、. 楽曲の中に自己参照的に登場する. こ. の「. 歌. 」 と. い. う. 言. 葉. が、《. 渚. 》 と. い. う. 音. の ... 印 象 的 だ が 、 そ う 詠 う ヴ ァ レ リ ー も 南 仏 セ ー ト と い う 「 波 打 ち. 際 」 で 生 ...
52,T,あなたのすべてを,2009/01/28 - すべての意味があなたになるように歌にしようこの感触も このコードも この甘味も 色も 匂いも 五感ではあなたのすべては理解できない 表わせない僕のありったけで そう ありったけで都合のいいように受け取る 時々あなたは ...
53,T,あなたのすべてを,すべての意味があなたになるように歌にしようこの感触も、 このコードも、 この甘味も、 色も、 匂いも 五感ではあなたのすべては理解できない 表わせない僕のありったけで そう、ありったけで都合のいいように受け取る 時々あなたは冷たく ...
54,T,あなたのすべてを,2019/06/30 - 2019年7月1日にリリースされたAZKi WHiTEの6thオリジナル楽曲『from A to Z』の歌詞全文とライナーノーツをまとめました。 『from A to Z』歌詞全文 歌を歌う意味を（歌を歌う意味を） 生き続けていく意味を（生き続ける） 考えても 答えなんて ... 自問自答をするようなコーラス、そして全てのフレーズでAZKiの心情が違うことが分かります。 ... この曲を受け取ってくれたあなたへ.
55,T,氷の世界,2019/07/31 - 井上陽水の情報と歌詞ならUtaTen。全歌詞ふりがな付き！【歌詞コラム】「夢の中へ」、「氷の世界」など独自の世界観を持ち、叙情的な歌詞が特徴的な作品でヒット曲を量産するシンガーソングライター井上陽水。今回は ...
56,T,氷の世界,2019/07/31 - この「氷の世界」は、もちろん作詞:井上陽水、作曲:井上陽水の楽曲だ。 そして、本人さえも「なぜ(そんな歌詞・フレーズを)書いたか分からない」と語ったことがある。 紐解いてみるとそこには、リリースから半世紀近く ...
57,T,氷の世界,"2017/11/02 - 氷の世界」/井上陽水アルバムの表題曲にもなった歌詞の本当の意味に迫る！筋肉少女帯も歌った名曲！ 6,139 view. 氷の世界 · 歌詞 · 井上陽水. 30 post. 難解と言われる「氷の世界」の歌詞を解釈してみました。筋肉少女帯の他 ..."
